Gambar,EAR,MAR,Nose X,Nose Y
1,1.9845183913209234,10.49611926543218,269,608
2,1.59507157468909,11.479916906698637,264,611
3,1.617031487896627,10.209463659603518,263,613
4,1.8108238382645976,7.350751032942593,274,609
6,1.646061057218808,5.131397946609303,274,614
8,1.593318619559299,5.630312928317827,280,609
9,1.6796357874024572,9.390700276051552,282,611
10,1.6202171303902273,5.053731555065231,280,617
12,1.9620634932447145,4.812283952326305,279,616
13,1.5147063713311004,3.8096786643002343,280,615
15,1.8733924680654406,3.7696988197097854,285,615
16,1.8488745690296255,3.103496650188679,292,612
17,1.7762461062893915,3.893714571423196,285,626
18,1.6455165193051915,3.10343605518408,288,621
19,1.8173826781598175,3.28276677103476,280,623
20,1.578197160616082,2.99717154603699,287,615
21,1.658436025112736,3.19776567518229,282,614
22,1.7474296908670501,3.068428824575213,282,618
23,1.8006768427612614,3.3967223638882813,283,620
24,1.685214124256245,3.666379644919837,283,619
25,1.6085773299328823,2.7216117699681366,283,619
26,1.659705025949462,3.2838613253538917,277,617
27,1.7719199830654688,3.386001979471867,281,619
28,1.499045314588227,3.0730796145245454,281,620
29,1.6771717242938595,4.346965062522687,288,623
34,1.791224845318356,2.67959591934942,291,627
35,1.964295141533476,2.4189386247205165,291,617
36,1.5642831708256515,2.4662667313726576,284,624
37,2.138149407285378,2.7105794586948964,294,617
40,1.7232966615923235,3.1561522492811993,274,619
41,1.668134189379317,2.866265125139195,283,614
42,2.215702471285631,3.3667015768638118,273,613
43,2.3709159298935703,2.8665562930295234,274,620
44,1.8906141856667198,2.4608992795702536,265,614
45,1.7889198211421364,2.802906562272787,272,616
46,1.7652824979372177,2.918957786384672,269,614
47,1.8096101978755752,2.5839121676572834,261,625
48,1.8004436456900033,2.3856098039369567,271,617
51,1.7511819071890975,2.445306997708533,272,618
52,1.642284839118834,2.353867906758015,271,620
53,1.780916300330352,2.3500443465537497,268,620
54,1.5141305290184,2.611648138566768,270,618
56,1.887192854251953,2.187047573297999,273,624
57,1.5857441623009645,2.74524159984567,271,615
58,1.7378048728502584,2.5854071782156636,260,616
61,1.9569751759294465,2.0993294232682636,258,625
66,1.89565470736439,2.2610820570767887,265,616
67,1.74046746315937,2.411530687649673,262,618
68,1.7644986576953183,2.2930133654223965,258,618
69,1.513792037512373,2.362361538409764,264,632
72,1.6972568067294271,2.618247764405489,264,620
73,1.8593311365842742,2.19069650922867,258,615
74,1.5373136615624143,2.4071279792902907,252,614
76,1.921871218737638,2.1517162010729627,251,612
77,1.771695487145923,2.3029628589134155,258,613
78,1.7980123498257046,2.1779798596970856,257,621
79,1.7814162045964475,3.3776172214269558,258,620
80,1.778045925276718,3.2458043455548653,257,615
81,1.4630306833075084,4.063268173570353,259,618
82,1.8069055612764802,3.6961982974505467,262,617
84,1.4730093057017095,3.344365277398069,254,617
85,1.5504807732535326,4.350426733124803,260,613
86,1.627819074575589,5.707106536545121,256,615
88,1.6713578614956885,6.006994893837176,262,617
89,1.7510332981036871,3.495872809651649,263,617
91,1.6685166469820647,4.731595265645636,260,612
92,1.6865445212519452,29.75158221510368,261,617
93,1.6127623472811847,3.8603507000030626,261,617
94,1.8226657065466925,8.364625149369395,253,617
95,1.9675524513991396,4.829055464510682,264,617
96,1.588266759742421,6.656039202242915,267,614
97,1.6189932243878198,6.371701272377549,267,623
98,1.6662194061440807,10.932599695223745,266,613
99,1.705103395893989,8.011559825857127,258,615
100,1.7414708381429016,6.04016286247737,264,618
101,1.566124411114834,9.572224930339232,254,615
103,1.8359199470930876,9.767416689078551,253,615
104,1.7253858643452333,19.86075159763075,254,619
105,1.7331169592735551,3.2669916690984584,249,626
106,1.841027345558019,12.818336169287129,251,625
107,1.9616703729420348,7.022397078583993,253,625
108,2.14816759862157,6.503629408911375,251,632
109,2.081052092988553,5.397404178311276,248,628
110,2.057068707032273,4.279034904890189,244,634
111,1.88570703202491,8.200432900783905,252,629
112,2.3165758342654366,8.192503801737361,253,629
113,2.041488375350708,5.460085577828266,253,625
114,2.106591007502617,7.428227113789029,254,625
115,1.8785114331123287,21.66061097172034,251,631
116,1.8245269358897738,11.076286653001784,255,627
117,1.738974736112214,3.3440937348358566,251,626
118,2.231505626672887,6.0628942406528905,249,622
119,1.9420492321712608,10.068817679587152,247,624
120,2.2670550189282865,10.579781317162595,250,632
123,1.9688119950049419,3.367943227906379,253,628
124,1.7828466063062152,4.846041588394346,260,624
125,1.727541780206089,4.877869827056913,255,623
126,1.8219241281027638,4.872339039118543,252,629
127,1.7070637103360427,9.257184839416396,263,623
129,1.612728106099441,4.125571647050307,266,623
130,1.525704855694916,4.3192417544586466,268,637
131,2.478562091743285,10.27492552230211,433,702
132,2.817864863809608,10.454905993350414,432,703
133,2.0793010577618545,10.344623056206975,434,707
134,2.3070148338064937,12.143653938244327,438,711
135,2.5492179581951335,5.864679590506968,444,706
136,2.4048186188211584,14.448630882070438,457,706
137,3.563143855273165,7.663162301709829,460,704
138,2.7115946743290413,9.754671890567398,462,694
139,2.6101053647558303,9.43248801080401,471,693
140,2.8068382685516866,7.269175072593372,478,691
141,2.717906427159698,11.646089590543303,476,691
142,2.107248580788963,9.976024932558746,479,687
143,2.17663435720535,21.020305399256166,474,683
144,2.2251942899142607,8.92179414549576,474,686
145,2.4508026723025513,17.179227046646773,480,684
146,1.9955100081772104,11.454748016429898,470,678
147,2.5601203736735316,25.177750170502435,476,684
148,2.2418558668287174,19.085082742326616,468,680
149,2.0348557251904666,12.982129596966203,464,678
150,2.0306417878945333,8.539666092407723,458,682
151,2.281217340578239,10.261736636606646,464,681
152,1.962458184488578,8.066302819062594,457,680
153,1.915977868697159,16.52882991712797,463,675
154,2.161822879989841,7.927817384679366,458,675
155,1.9679345734382918,14.5371038563955,463,677
156,2.1333672002367914,10.228899770832495,465,674
157,2.49235590389934,8.083995510787979,471,677
158,2.245072142793175,57.96085549842276,469,675
159,2.0277053796652806,25.195636981183334,473,676
160,2.257728317895025,6.940469503472564,485,676
161,2.112301122124041,12.62863738818344,487,674
162,2.179686194451329,10.472510561451054,494,675
163,2.0567389056684253,9.167648605558554,500,673
164,2.2918964193901425,8.398205153544241,504,672
165,1.876249255426094,12.321571513559181,506,678
166,2.176259208094205,19.521338526975036,515,680
167,2.373411329663634,9.688837310557519,513,680
168,2.104238252865647,5.415529476768009,521,678
169,2.0906831653580813,21.21726088981616,527,683
170,1.8936134713030994,10.240922714408395,532,680
171,2.2360184988682326,14.54204536336527,538,685
172,2.070910067323093,19.504713129629998,543,681
173,2.057252587152653,14.889672018567385,546,683
174,2.10700348444304,14.814031686041924,547,685
175,2.350140199731617,8.36287893948493,553,681
176,2.079169605301841,11.832473539343225,560,689
177,1.9141866558159766,10.744296095329029,557,692
178,2.1638756824117475,7.009614878822903,549,692
179,1.969689745294784,8.886806216367338,554,692
180,1.9195508525213405,24.43028326655233,551,694
181,2.040418217499421,6.440032468795758,552,698
182,2.235115924706496,11.081896727730047,548,698
183,2.2399812612103993,9.642973794370192,553,700
184,2.205674162821344,7.612732220252649,553,698
185,2.2629892757578354,11.79167171739618,551,694
186,2.3377474704301457,21.393308227155536,553,696
187,1.8505617168817636,14.24235278617623,548,696
188,2.0166268367895217,16.527084839280715,548,696
189,2.182080168799432,9.204373123067933,540,694
190,2.3527516044313397,15.280579942909792,544,695
191,2.0172185380119947,10.436220448977815,536,694
192,2.062880024559759,8.694376603043986,533,694
193,2.200144018537295,10.075330271973215,533,694
194,2.186783812832537,75.72178801509872,525,702
195,2.3805177752158633,9.703777130113913,519,700
196,2.4187672687508055,7.635954464967233,518,699
197,2.044437842981888,9.397179194930457,518,695
198,2.1396668048764624,12.644267637962647,517,698
199,2.116565085812938,10.11594399341599,512,696
200,2.3203641530355323,8.347682278600933,508,701
201,2.159460079321992,28.660376674622654,514,697
202,2.0377190333109807,9.572679229567292,509,699
203,2.206746582619104,10.987086322727,508,698
204,2.1314331696809563,8.276084753139147,511,691
205,1.9847315451545342,8.487331212344639,506,698
206,2.0700910792694827,16.47130755950591,513,695
207,2.3852362108361285,10.605523771512827,515,695
208,2.1849818349371573,24.401631529826002,514,697
209,2.3428052143398155,14.077640050247403,512,702
210,2.0567205183174027,9.790773436763791,509,699
211,2.443619601710113,10.780107148360717,503,701
212,2.3646251402430067,inf,504,701
213,2.293375589188353,11.09134580192938,511,702
214,2.3484904758776826,13.68586570813492,509,700
215,2.36840409784511,23.96676377272926,504,699
216,2.4194020234208136,11.257861226104833,506,698
217,2.254526483947698,21.18689751441008,506,700
